#{"t_start": 1771124456.7725449, "env_id": "LunarLander-v3"}
r,l,t
-20.801833,1000,76.270721
21.975201,1000,76.664785
-10.486713,1000,77.020189
-40.465629,1000,77.396659
6.344104,1000,77.75195
2.90642,1000,78.5603
-4.122951,1000,79.346701
8.605535,1000,80.151195
-1.936801,1000,80.941451
7.024166,1000,81.765767
-15.553321,1000,82.570485
5.792953,1000,83.400889
5.812713,1000,84.221116
13.283341,1000,84.978907
-16.641619,1000,85.758373
-43.758968,1000,86.129255
5.720378,1000,86.539274
-8.102002,1000,86.932028
-24.543046,1000,87.338903
-17.001959,1000,87.706479
-1.449217,1000,88.565705
-7.156231,1000,89.400823
12.51568,1000,90.230126
-10.125229,1000,91.010701
-21.04885,1000,91.840357
-32.914215,1000,92.630616
-61.865551,1000,93.450511
3.807546,1000,94.279809
-69.582014,1000,95.055829
-34.994716,1000,95.835182
-0.128709,1000,96.205375
-9.128656,1000,96.56861
-26.721613,1000,96.932086
-13.185971,1000,97.314202
-37.299925,1000,97.678006
