#{"t_start": 1770949931.1179175, "env_id": "LunarLander-v3"}
r,l,t
-78.173869,322,160.296894
-93.085324,1000,160.661678
-147.035955,1000,160.994719
-227.1067,1000,161.344572
-224.137114,969,161.686837
-164.895275,737,161.946526
-29.563272,361,162.129646
-57.901606,306,162.261004
4.336725,216,162.380559
97.191427,1000,164.160768
77.268066,1000,164.766641
51.797698,1000,167.005322
-75.647047,400,167.381817
86.770305,1000,169.75154
125.705914,1000,170.496264
89.242349,1000,173.206827
144.843858,1000,173.982048
-4.552121,287,174.144274
71.703223,1000,175.7748
-114.168564,1000,176.339688
-153.88508,1000,176.70354
-114.407481,1000,177.056039
-87.621157,1000,177.387151
-158.723841,1000,177.734105
92.498858,1000,178.239484
114.540214,1000,179.923305
67.424589,1000,180.418276
117.795288,1000,181.999365
110.876426,1000,182.501579
111.862222,1000,184.071147
-1.812145,339,184.235897
-15.82747,358,184.404936
109.982247,1000,185.929904
94.817917,1000,186.435743
74.434008,1000,187.98206
119.957442,870,188.451298
132.747502,935,188.800651
139.745902,843,189.090674
-204.590128,999,189.448143
111.694203,933,189.799298
96.308385,1000,190.299229
118.426452,1000,191.984531
121.779513,1000,192.489317
167.049777,675,193.850043
85.020646,1000,194.390032
-27.522217,409,194.599336
102.060855,1000,196.145557
115.700873,1000,196.646923
98.285777,1000,198.178285
65.122728,1000,198.687659
-43.911856,435,198.895053
-33.875276,403,200.077161
-52.747113,1000,200.495045
-94.989378,1000,200.843673
-80.94962,1000,201.196249
-41.992939,1000,201.559464
-85.815312,1000,201.913855
78.439714,1000,202.417619
36.497978,1000,203.962059
120.396916,1000,204.484231
93.086233,1000,206.024613
85.559176,1000,206.52431
78.149804,1000,208.008055
92.526195,1000,208.608938
18.310993,1000,210.121547
84.228039,1000,210.63952
42.121614,1000,212.124276
-112.637229,975,212.50686
128.01439,926,212.831104
-69.617218,1000,213.182379
11.483906,1000,213.534128
107.480356,985,213.879317
109.098419,1000,214.354459
174.055852,600,214.654923
82.795717,1000,216.253025
107.933547,1000,216.745941
-5.827807,443,217.95269
120.094815,1000,218.574126
136.819986,1000,220.018394
89.001077,1000,220.568377
89.209757,1000,221.068239
-57.423978,384,222.267411
90.642665,1000,222.767411
34.248421,1000,223.367091
-80.112598,1000,223.743066
152.611062,928,224.066815
153.606357,725,224.316723
126.497023,848,224.616533
121.396143,1000,226.217214
-30.18815,276,226.368861
-21.461628,285,226.515653
-18.245631,300,226.665156
211.021436,558,227.964772
18.992636,408,228.200856
175.049651,701,228.548012
93.121269,1000,230.097171
97.746893,1000,230.630464
80.010018,1000,232.146302
-35.909331,347,232.338421
206.170282,665,232.662821
132.906058,1000,234.162614
208.626798,739,234.548463
181.87614,610,234.847061
-47.922955,1000,235.24831
114.851733,821,235.549054
150.459361,828,235.838114
123.913071,987,236.18754
-41.250579,1000,236.528128
