#{"t_start": 1770947331.1740882, "env_id": "LunarLander-v3"}
r,l,t
-113.187546,427,96.871718
-7.940008,1000,98.212177
-33.363311,1000,99.66752
-56.563725,1000,100.996422
-48.313005,1000,102.166769
-79.433737,1000,103.561298
-17.539531,1000,104.653118
-56.698248,1000,105.631387
-74.214736,1000,106.626504
-6.836814,1000,107.619668
-190.480432,784,108.318334
-106.950068,1000,109.324026
-81.747444,1000,110.566113
-58.21444,1000,111.797164
